视频ID,评论ID,用户昵称,用户ID,评论内容,发布时间,点赞数,回复数量,用户头像
7572787044804545823,7580523951001256734,Elle Luxurious Hair,6813404811352015877,The stylist used too dark makeup on lace,2025-12-06 07:44:46,52,1,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/73f998575c7af8ad917fc7f8d6538580~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=6ab9d7a3&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=MinWD%2B15pj7zPontiHOQwB2vjIg%3D
7572787044804545823,7576498724643472158,kiy.saylol,7325357116415509550,I got this too and she not lying dont walk runnnn & get it,2025-11-25 11:25:06,68,1,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/48bee8c6ea9339eea07a299b7ebb174b~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=00c0a919&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=81GwVRSuiPmtf%2BA2G%2BvZsxsRznw%3D
7572787044804545823,7580883365647434527,theeyonna,7290198150257968171,do u pluck blonde wigs??,2025-12-07 06:59:43,1,1,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/049c1ff34e8c8ffa6264baac622e9e16~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=9139133b&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=cV6gUSB5ZPToH0RMQ2gKk3mov1w%3D
7572787044804545823,7575107241657991950,dkeprettydan,7323000879249245227,"I purchased this, the shipping was fast, I love it 💓",2025-11-21 17:25:49,146,2,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/90b90a22b20587c2bb58919135ecbb20~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=c3617476&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=EGCZ54fqzMOcK8xhY931EVfZMV0%3D
7572787044804545823,7575106792146649869,Roseline pos,7322719435625907242,I ordered and it was good,2025-11-21 17:25:12,11,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/f66079884ef851f0d6a05766ecdb11fa~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=4bef88f2&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=uc2XkeNbR0Li%2FQ9IlNB6R%2FTOzec%3D
7572787044804545823,7577022451688981261,Dee Melly,7308378657017513002,Ur freckles are beautiful.,2025-11-26 21:17:29,15,1,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/37e34b765b20e2c767b4fb581fda85ed~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=a98ab140&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=hm3vphyC8K5a8kNEPyOw5gafqjM%3D
7572787044804545823,7580459573137015566,KoTty❤️,7248687868345877550,sistaaaa 😍😍😍😍😍,2025-12-06 03:35:18,1,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/c0303830bdf8e4c50d32109c691dad26~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=cfba986c&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=aP33zK%2B7gkF2CQXgeZWP9w8NHgc%3D
7572787044804545823,7576096284316287774,Liberty Nicoleeee,7322658303550276654,"Great color , I loved it as my birthday hair",2025-11-24 09:23:23,6,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/bd04ed81512f8a66848fd77d7202bc73~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=7a955d7a&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=VcVLiEc7jNn47MH%2F52Cfm3d65KE%3D
7572787044804545823,7578597913779503902,CHRI$$Y😘,7046534354655216646,Wigggg is teaaaaa😁 [photo],2025-12-01 03:11:01,15,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7347295367748124718~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=2c3e90a3&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=Ncy0XoIGCV1jJadOhB3HEq1a358%3D
7572787044804545823,7579101452350620429,Sharmaine Renee,7471470335943279662,Love it🫶🏽🫶🏽🫶🏽,2025-12-02 11:44:40,2,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/56d8a2bd8506fdae43f0b73b07426580~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=cb2f164e&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=3hYTKKCe0xSObzqpbzwdZb9JeZc%3D
7572787044804545823,7578691707706999565,Treasuredabarb,6971949959383041029,teaaaaaa,2025-12-01 09:14:56,4,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/765d1eb1347729eecc1b52b11baf5bd3~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=a9d1d499&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=NUrcGOhOEbjgtxoMniDrn5CAHDI%3D
7572787044804545823,7573703817796600589,Bianca ♡︎,6770132648708572165,This looks good on you 😍😍,2025-11-17 22:39:22,5,1,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/ee8cceb05a965e9c884dbae809c329a9~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=9a1f5e1b&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=UCETNverOupn4%2BSvBJwMjaFMxt4%3D
7572787044804545823,7578237414680937246,maya 🫧,7467952768723584046,do the ends tangle,2025-11-30 03:52:20,2,1,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/ecf139b80620bc89932480efd66fdf12~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=73d2a2e8&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=APM6qH53ODNJTahDOy1WKBKtXsI%3D
7572787044804545823,7578234986026566430,KEAA NIKOLEE 💫,6799781492962296837,beautiful 💕,2025-11-30 03:42:36,2,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/308f9094735faeaf1dc51e82e9b23744~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=8da8464a&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=L3ZrbclN8FWXhTpRZb2pYY8PzKk%3D
7572787044804545823,7575107372101272334,Bubblejia,7386867156091438126,I ordered and it was good,2025-11-21 17:26:59,14,0,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/834a229a320396c218399f9ec3202515~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=3aa5b941&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=4UmSJsDJ%2Bz29UFmlOL9ygM6xoR4%3D
7572787044804545823,7577106887171605278,Shae,12528032,How did you do the into like that with that filter?,2025-11-27 02:44:51,8,0,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/c2378de5052437b4ed39de964578befc~tplv-tiktokx-cropcenter-q:100:100:q70.webp?dr=8835&idc=useast8&ps=87d6e48a&refresh_token=18bb38e0&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1765274400&x-signature=8qIyGiTD6oEYO8b%2Bq9uM3MIa6Fs%3D
